"Показател","Мерна единица","Дата","Дружба","Павлово","Младост","Надежда","Орлов мост","Хиподрума","Копитото"
"NO2","ug/m3","04.04.2011","22.83372116088867","42.33715057373047","","27.33417129516602","62.00054550170898","7.428859710693359","2.065424680709839"
"NO2","ug/m3","05.04.2011","23.484375","33.4185676574707","","22.53299903869629","44.52773666381836","7.572524547576904","1.459257364273071"
"NO2","ug/m3","06.04.2011","20.46023750305176","22.42746162414551","","22.84842872619629","35.39680480957031","23.45891761779785","0.5499624609947205"
"NO2","ug/m3","07.04.2011","22.75845909118652","19.03787994384766","","20.90104866027832","37.85221099853516","22.2401294708252","1.770786046981812"
"NO2","ug/m3","08.04.2011","17.89397430419922","8.626345634460449","","12.50126552581787","22.12696838378906","1.028014540672302","0.6307693123817444"
"NO2","ug/m3","09.04.2011","12.88176536560059","5.708081722259521","","10.83445262908936","20.66817665100098","0.6856203675270081","0.01001796778291464"
"NO2","ug/m3","10.04.2011","8.946746826171875","4.62843132019043","","8.438470840454102","12.13308334350586","0.5252984762191772","-0.5756262540817261"
"NO2","ug/m3","11.04.2011","9.996006965637207","7.718146800994873","","10.32874870300293","20.51374435424805","0.3463066220283508","-0.7424214482307434"
"NO2","ug/m3","12.04.2011","21.83384132385254","14.21337890625","","18.37704277038574","39.57450866699219","9.912790298461914","0.5658596754074097"
"NO2","ug/m3","13.04.2011","18.58466148376465","14.19894218444824","","12.38258266448975","25.66790962219238","14.67848110198975","1.33648955821991"
"NO2","ug/m3","14.04.2011","15.10521697998047","9.544644355773926","","9.557583808898926","16.25107192993164","13.04199314117432","-0.6220883131027222"
"NO2","ug/m3","15.04.2011","19.3864917755127","18.87251281738281","","16.10995864868164","30.95386123657227","21.47280693054199","-0.1079377830028534"
"NO2","ug/m3","16.04.2011","18.05144500732422","30.70989036560059","","21.37612915039062","56.43537521362305","31.72233581542969","-0.1552145630121231"
"NO2","ug/m3","17.04.2011","10.5723934173584","14.93718528747559","","15.43184089660645","48.89646148681641","16.1526050567627","-0.2588824033737183"
"NO2","ug/m3","18.04.2011","20.68697929382324","32.45849609375","","35.47274398803711","73.58596038818359","36.0803108215332","-0.1877090930938721"
"NO2","ug/m3","19.04.2011","29.71603012084961","53.46329116821289","","36.89491653442383","71.01859283447266","45.76443481445312","0.106097511947155"
"NO2","ug/m3","20.04.2011","28.56820869445801","47.00368499755859","","28.2963695526123","65.16026306152344","42.49692535400391","0.2870855033397675"
"NO2","ug/m3","21.04.2011","","44.31274032592773","","29.02615928649902","62.72947311401367","34.40134429931641","0.3697803020477295"
"NO3","ug/m4","22.04.2011","","29.37649917602539","","19.25054168701172","48.09968185424805","22.71226501464844","0.2742679417133331"
"NO4","ug/m5","23.04.2011","","20.75506401062012","","17.44454574584961","39.696044921875","19.34453201293945","0.192543089389801"
"NO5","ug/m6","24.04.2011","","17.62725830078125","","17.07058334350586","37.09823226928711","15.6719331741333","0.258104532957077"
"NO6","ug/m7","25.04.2011","","14.6407585144043","","15.25078678131104","36.81425094604492","13.69919300079346","0.1587727963924408"
"NO2","ug/m3","26.04.2011","","17.21803283691406","","22.17558670043945","55.53629684448242","21.93444061279297","0.1178158447146416"
"NO2","ug/m3","27.04.2011","20.85683059692383","33.47109985351562","","29.69119834899902","64.80659484863281","35.28670120239258","0.1866800338029861"
"NO2","ug/m3","28.04.2011","16.48840522766113","22.82235145568848","","18.04633712768555","37.44837188720703","21.19648361206055","0.1507421582937241"
"NO2","ug/m3","29.04.2011","22.29449653625488","37.06961822509766","","19.14028739929199","51.85834503173828","31.56857872009277","0.1714913547039032"
"NO2","ug/m3","30.04.2011","22.30580139160156","32.28416442871094","","20.7464485168457","55.58959197998047","32.42755126953125","0.2601058185100555"
"NO2","ug/m3","01.05.2011","12.17806911468506","30.40463638305664","","18.22772979736328","51.41796493530273","26.4385871887207","0.1623460054397583"
"NO2","ug/m3","02.05.2011","24.46565628051758","32.3623161315918","","22.07583045959473","40.23749923706055","29.58364295959473","0.1123110353946686"
"NO2","ug/m3","03.05.2011","24.3229866027832","51.55531311035156","","36.05309295654297","61.14564514160156","46.24448013305664","0.2329802662134171"
"NO2","ug/m3","04.05.2011","23.10266304016113","22.70990753173828","","15.42101097106934","26.24066543579102","19.43196105957031","0.124341182410717"
"NO2","ug/m3","05.05.2011","22.2447624206543","16.62208366394043","","14.74023818969727","28.04134559631348","19.89766311645508","0.1140496805310249"
"NO2","ug/m3","06.05.2011","16.2656135559082","16.79593086242676","","15.53707599639893","33.6800422668457","15.48580932617188","0.2029947936534882"
"NO2","ug/m3","07.05.2011","13.51747989654541","14.84836387634277","","14.94101524353027","32.44346237182617","19.03011894226074","0.1198535561561584"
"NO2","ug/m3","08.05.2011","10.21638202667236","11.90823173522949","","14.11468410491943","32.51658248901367","14.87475204467773","0.09375873953104019"
"NO2","ug/m3","09.05.2011","11.57199764251709","21.43553352355957","","20.41526412963867","57.66021347045898","24.18467903137207","0.1578691005706787"
"NO2","ug/m3","10.05.2011","","23.34959983825684","","17.09203910827637","51.87738037109375","22.78445816040039","0.1203700378537178"
"NO2","ug/m3","11.05.2011","","26.50869178771973","","20.34100532531738","47.67881393432617","22.73567199707031","0.1313495337963104"
"NO2","ug/m3","12.05.2011","30.0319995880127","30.55656814575195","","24.78494262695312","51.5582389831543","28.95694923400879","0.2036447823047638"
"NO2","ug/m3","13.05.2011","37.09957504272461","37.18918991088867","","25.95580291748047","56.39607620239258","39.1025505065918","0.1798259913921356"
"NO2","ug/m3","14.05.2011","28.74750137329102","21.48046875","","29.66616058349609","52.14772415161133","29.54182434082031","0.1587026119232178"
"NO2","ug/m3","15.05.2011","20.38141632080078","36.07534408569336","","26.63133430480957","59.31339645385742","42.15270233154297","0.3184831738471985"
"NO2","ug/m3","16.05.2011","21.67913246154785","29.53135299682617","","23.88637733459473","51.84087753295898","29.40582275390625","0.2343890517950058"
"NO2","ug/m3","17.05.2011","19.46573066711426","23.9396915435791","","19.98379898071289","41.54613876342773","23.20959091186523","0.2186275273561478"
"NO2","ug/m3","18.05.2011","19.7978572845459","26.03001022338867","","23.31864929199219","59.27508926391602","24.71940612792969",""
"NO2","ug/m3","19.05.2011","22.08110046386719","28.66302108764648","","21.88347244262695","57.79812622070312","29.8208179473877","0.3281800448894501"
"NO2","ug/m3","20.05.2011","23.29572677612305","34.14018249511719","","23.95528411865234","63.43740081787109","32.65980529785156","0.3019492328166962"
"NO2","ug/m3","21.05.2011","18.00130271911621","32.62211227416992","","22.49331474304199","57.85056686401367","36.78358459472656","0.3668869435787201"
"NO2","ug/m3","22.05.2011","18.31025695800781","22.28282165527344","","19.66909027099609","47.82041549682617","29.26033973693848","0.2675166726112366"
"NO2","ug/m3","23.05.2011","20.23428726196289","22.94559669494629","","22.2498722076416","46.8702507019043","31.57688903808594","0.2733792662620544"
"NO2","ug/m3","24.05.2011","16.0889835357666","25.21032333374023","","20.81734848022461","49.07751083374023","31.37029647827148","0.4117682278156281"
"NO2","ug/m3","25.05.2011","16.62174034118652","35.79426956176758","","23.73487281799316","57.77875900268555","37.64492034912109","0.2881426215171814"
"NO2","ug/m3","26.05.2011","18.58727645874023","34.98104476928711","","22.90450286865234","52.61881256103516","37.40143203735352","0.398130476474762"
"NO2","ug/m3","27.05.2011","15.11805248260498","18.39516830444336","","23.0948371887207","56.37735366821289","22.3765926361084","0.3582342267036438"
"NO2","ug/m3","28.05.2011","16.87899398803711","26.73944282531738","","21.18758392333984","52.57553100585938","28.78142929077148","0.3745313882827759"
"NO2","ug/m3","29.05.2011","14.70401191711426","14.09549236297607","","11.32560348510742","30.73183631896973","14.5896520614624","0.2592670321464539"
"NO2","ug/m3","30.05.2011","15.54030990600586","15.52218055725098","","12.82021236419678","37.9985237121582","16.36892318725586","0.4261127114295959"
"NO2","ug/m3","31.05.2011","18.2302303314209","27.18375205993652","","17.94835090637207","44.38509750366211","25.51397514343262","0.3212926983833313"
"NO2","ug/m3","01.06.2011","17.55939483642578","29.43144989013672","","15.47977542877197","45.24015808105469","31.19441604614258","0.3433874547481537"
